Country,Happiness.Rank,Happiness.Score,Generosity
Norway,1,7.537000179,0.3620122373
Iceland,3,7.504000187,0.4755402207
Switzerland,4,7.493999958,0.2905492783
Canada,7,7.315999985,0.4355397224
New Zealand,8,7.31400013,0.500005126
Sweden,9,7.28399992,0.3853992522
Australia,10,7.28399992,0.47769925
Israel,11,7.212999821,0.330082655
Costa Rica,12,7.078999996,0.214613229
United States,14,6.993000031,0.3925787807
Ireland,15,6.977000237,0.4278583229
Germany,16,6.951000214,0.33626917
Belgium,17,6.890999794,0.2315033376
Luxembourg,18,6.862999916,0.2831809819
United Kingdom,19,6.714000225,0.4927741587
Chile,20,6.65199995,0.3266624212
